AGNO;RBD;DGV_RBD;NOM_RBD;P_JURIDICA;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;PACE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;ENS_10;ENS_11;MAT_ENS_1;MAT_ENS_2;MAT_ENS_3;MAT_ENS_4;MAT_ENS_5;MAT_ENS_6;MAT_ENS_7;MAT_ENS_8;MAT_TOTAL;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL;ESPE_01;ESPE_02;ESPE_03;ESPE_04;ESPE_05;ESPE_06;ESPE_07;ESPE_08;ESPE_09;ESPE_10;ESPE_11
2025;24850;9;ESCUELA DE PARVULOS N°1527 ALEXANDER MONTESSORI;1;13;RM;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;4;3;0;-33,395697;-70,553898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24851;7;ESCUELA DE PARVULOS N°1528 MI RINCON;0;13;RM;131;13120;ÑUÑOA;133;SANTIAGO ORIENTE;4;3;0;-33,448357;-70,5872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24852;5;INST.DE HUMANIDADES SANTA ANA DE CHENA;1;13;RM;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24853;3;LICEO DE ADULTOS UNOPEC;1;13;RM;131;13104;CONCHALÍ;137;SANTIAGO NORTE;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24854;1;ESCUELA ANEXO BASICA PART.VILLA LOURDES;1;13;RM;131;13117;LO PRADO;134;SANTIAGO PONIENTE;3;2;0;-33,45192401;-70,73772105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24856;8;COLEGIO TEGUALDA;1;13;RM;136;13601;TALAGANTE;135;TALAGANTE;1;1;0;-33,67551485;-70,94298778;1;1;10;110;310;0;0;0;0;0;0;0;0;42;511;0;0;208;0;0;0;761;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24857;6;COLEGIO CRECES ANEXO;1;13;RM;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;4;3;0;-33,424892;-70,5616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24858;4;ANEXO NR.2 CRECES;9;13;RM;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24859;2;ESCUELA DE PARVULOS  NATANAEL N° 2;0;13;RM;131;13129;SAN JOAQUÍN;131;SANTIAGO CENTRO;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24860;6;ESCUELA BASICA ROSARIO DE LAS CONDES;1;13;RM;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
